x,y,z
12,31,41
12,31,42
12,31,43
12,32,34
12,32,35
12,32,36
12,32,37
12,32,38
12,32,39
12,32,40
12,42,41
12,43,25
12,43,26
12,43,27
12,43,28
12,43,29
12,43,30
12,43,31
12,43,40
12,44,23
12,44,24
12,44,25
12,44,26
12,44,27
12,44,28
12,44,29
12,44,30
12,44,31
12,44,32
12,44,33
12,44,36
12,44,37
12,44,38
12,44,39
12,44,40
12,45,21
12,45,22
12,45,23
12,45,24
12,45,25
12,45,26
12,45,27
12,45,28
12,45,29
12,45,30
12,45,31
12,45,32
12,45,33
12,45,34
12,45,35
12,45,36
12,45,37
12,45,38
12,45,39
12,45,40
12,46,21
12,46,22
12,46,23
12,46,24
12,46,25
12,46,26
12,46,27
12,46,28
12,46,29
12,46,30
12,46,31
12,46,32
12,46,33
12,46,34
12,47,20
12,47,21
12,47,22
12,47,23
12,47,24
12,47,25
12,47,26
12,47,27
12,47,28
12,47,29
12,47,30
12,47,31
12,47,32
12,47,33
12,48,21
12,48,22
12,48,23
12,48,24
12,48,25
12,48,26
12,48,27
12,48,28
12,48,29
12,48,30
12,49,23
12,56,24
12,56,25
12,56,26
12,56,27
13,17,15
13,18,14
13,18,15
13,20,13
13,21,12
13,21,13
13,21,14
13,22,12
13,22,13
13,22,14
13,23,12
13,23,13
13,23,14
13,24,12
13,24,13
13,25,20
13,25,21
13,25,42
13,25,43
13,26,20
13,26,21
13,26,39
13,26,40
13,26,41
13,26,42
13,26,43
13,27,20
13,27,21
13,27,36
13,27,37
13,27,38
13,27,39
13,27,40
13,27,41
13,27,42
13,27,43
13,28,34
13,28,35
13,28,36
13,28,37
13,28,38
13,28,39
13,28,40
13,28,41
13,28,42
13,28,43
13,28,44
13,29,33
13,29,34
13,29,35
13,29,36
13,29,37
13,29,38
13,29,39
13,29,40
13,29,41
13,29,42
13,29,43
13,29,44
13,30,34
13,30,35
13,30,36
13,30,37
13,30,38
13,30,39
13,30,40
13,30,41
13,30,42
13,30,43
13,30,44
13,31,34
13,31,35
13,31,36
13,31,37
13,31,38
13,31,39
13,31,40
13,32,35
13,32,36
13,40,41
13,41,40
13,41,41
13,41,42
13,42,28
13,42,29
13,42,30
13,42,38
13,42,39
13,42,40
13,42,41
13,42,42
13,43,25
13,43,26
13,43,27
13,43,28
13,43,29
13,43,30
13,43,31
13,43,32
13,43,33
13,43,34
13,43,35
13,43,36
13,43,37
13,43,38
13,43,39
13,43,40
13,43,41
13,43,42
13,44,21
13,44,22
13,44,23
13,44,24
13,44,25
13,44,26
13,44,27
13,44,28
13,44,29
13,44,30
13,44,31
13,44,32
13,44,33
13,44,34
13,44,35
13,44,36
13,44,37
13,44,38
13,44,39
13,44,40
13,44,41
13,44,42
13,45,20
13,45,21
13,45,22
13,45,23
13,45,24
13,45,25
13,45,26
13,45,27
13,45,28
13,45,29
13,45,30
13,45,31
13,45,32
13,45,33
13,45,34
13,45,35
13,45,36
13,45,37
13,45,38
13,45,39
13,45,40
13,45,41
13,46,20
13,46,21
13,46,22
13,46,23
13,46,24
13,46,25
13,46,26
13,46,27
13,46,28
13,46,29
13,46,30
13,46,31
13,46,32
13,46,33
13,46,34
13,47,20
13,47,21
13,47,22
13,47,23
13,47,24
13,47,25
13,47,26
13,47,27
13,47,28
13,47,29
13,47,30
13,47,31
13,47,32
13,48,20
13,48,21
13,48,22
13,48,23
13,48,24
13,48,25
13,48,26
13,48,27
13,48,28
13,48,29
13,48,30
13,49,22
13,49,23
13,49,24
13,49,25
13,55,24
13,55,25
13,55,26
13,55,27
13,56,24
13,56,25
13,56,26
13,56,27
13,56,28
13,56,29
13,57,24
13,57,25
13,57,26
13,57,27
13,57,28
13,57,29
13,57,31
13,58,24
13,58,25
13,58,26
13,58,27
13,58,28
13,58,29
13,58,30
14,17,14
14,17,15
14,18,14
14,18,15
14,21,12
14,21,13
14,22,12
14,22,13
14,22,14
14,23,12
14,23,13
14,24,12
14,24,13
14,24,43
14,25,41
14,25,42
14,25,43
14,26,20
14,26,21
14,26,22
14,26,39
14,26,40
14,26,41
14,26,42
14,26,43
14,26,44
14,27,20
14,27,21
14,27,22
14,27,36
14,27,37
14,27,38
14,27,39
14,27,40
14,27,41
14,27,42
14,27,43
14,27,44
14,28,20
14,28,21
14,28,22
14,28,35
14,28,36
14,28,37
14,28,38
14,28,39
14,28,40
14,28,41
14,28,42
14,28,43
14,28,44
14,29,33
14,29,34
14,29,35
14,29,36
14,29,37
14,29,38
14,29,39
14,29,40
14,29,41
14,29,42
14,29,43
14,29,44
14,30,34
14,30,35
14,30,36
14,30,37
14,30,38
14,30,39
14,30,40
14,30,41
14,31,35
14,31,36
14,31,37
14,39,21
14,39,22
14,40,20
14,40,21
14,40,22
14,40,40
14,40,41
14,40,42
14,41,19
14,41,20
14,41,21
14,41,22
14,41,39
14,41,40
14,41,41
14,41,42
14,41,43
14,42,19
14,42,20
14,42,21
14,42,22
14,42,23
14,42,29
14,42,30
14,42,31
14,42,32
14,42,34
14,42,35
14,42,36
14,42,37
14,42,38
14,42,39
14,42,40
14,42,41
14,42,42
14,42,43
14,43,19
14,43,20
14,43,21
14,43,22
14,43,23
14,43,24
14,43,25
14,43,26
14,43,27
14,43,28
14,43,29
14,43,30
14,43,31
14,43,32
14,43,33
14,43,34
14,43,35
14,43,36
14,43,37
14,43,38
14,43,39
14,43,40
14,43,41
14,43,42
14,44,19
14,44,20
14,44,21
14,44,22
14,44,23
14,44,24
14,44,25
14,44,26
14,44,27
14,44,28
14,44,29
14,44,30
14,44,31
14,44,32
14,44,33
14,44,34
14,44,35
14,44,36
14,44,37
14,44,38
14,44,39
14,44,40
14,44,41
14,44,42
14,45,19
14,45,20
14,45,21
14,45,22
